Stat_Code,"Total Damages Crops,Houses & Public Utilities (Rs. Crore)"
28,0
12,1574.68
18,0
10,0
22,0
30,0
24,3555.87
6,18.007
2,51.367
1,0
20,0
29,0
32,0
23,0
27,0
14,0
17,0.14
15,0
13,551.59
21,334.315
3,18.64
8,1876.857
11,245.44
33,0
16,132.824
9,308.053
5,0
19,17727.94
35,0
4,0
26,0.1
25,0
7,0
31,0
34,0
