Sl.No,Year,Name of State/UT,Area Affected (Mha),Population Affected (Million),Damages to Crops - Area (Mha),Damages to Crops - Value (Rs. Crore),Damage to Houses - Nos.,Damage to Houses - Value (Rs. Crore),Cattle Lost Nos.,Human Lives Lost Nos.,Damage to Public Utilities (Rs. Crore),"Total Damages Crops,Houses & Public Utilities (Rs. Crore)"
6,2018,Goa,0,0,0,0,0,0,0,0,0,0
7,2018,Gujarat,0,0,0,0,2635,0,212,0,57,0
8,2018,Haryana,0,0,0,0,0,0,0,0,0,0
9,2018,Himachal Pradesh,0.006,68.65,0.411,12.57,6023,43.03,1285,343,10.3,65.9
10,2018,Jammu & Kashmir,0,0,0,0,17,0,38,6,0,0
11,2018,Jharkhand,0,0,0,0,0,0,0,5,0.2,0.2
12,2018,Karnataka,0.328,0.35,0.232,2220.7,14955,367.51,1207,215,2032.57,4620.78
13,2018,Kerala,3.15,5.412,0.087,168.48,324386,998.131,47953,450,2154.149,3320.76
14,2018,Madhya Praadesh,0,0,0,0,315,0,36,31,0,0
15,2018,Maharashtra,0,0,0,0,0,0,65,68,0,0
16,2018,Manipur,0.005,0.127,0.005,0,17846,0,400,9,0,0
17,2018,Meghalaya,0,0,0,0.038,0,0.029,0,0,0,0
18,2018,Mizoram,0,0,0,0,968,0,3,18,0,0
19,2018,Nagaland,0.002,0.261,0.002,0,5209,0,794,13,0,0
20,2018,Odisha,0.085,2.274,0.085,0,19110,0,122,31,0,0
21,2018,Punjab,0.023,0,0.023,0,234,0,29,14,0,0
22,2018,Rajasthan,0.002,0.017,0.002,2.2,2159,2.16,341,26,27.368,31.728
23,2018,Sikkim,0,0,0,0,0,0,0,0,0,0
24,2018,Tamilnadu,0,0,0,0,0,0,0,0,0,0
25,2018,Tripura,0.004,0,0.004,0,7593,0,5,21,0,0
26,2018,Uttar Pradesh,0.445,0.592,0.383,230.364,28063,13.724,149,105,303.336,547.423
27,2018,Uttarakhand,0.001,0,0.001,0,2062,0,895,101,0,0
28,2018,West Bengal,0.049,0.321,0.049,0,23440,0,93,266,0,0
29,2018,A & N Island,0,0,0,0,0,0,0,0,0,0
30,2018,Chandigarh,0,0,0,0,0,0,0,0,0,0
31,2018,D & N Haveli,0,0,0,0,0,0,0,0,0,0
32,2018,Daman & Diu,0,0,0,0,0,0,0,0,0,0
33,2018,Delhi,0,0,0,0,0,0,0,0,0,0
34,2018,Lakshadweep,0,0,0,0,0,0,0,0,0,0
35,2018,Puduchcherry,0,0,0,0,0,0,0,0,0,0
2018,2018,Total,4.886,79.493,2.07,3097.266,463988,2014.532,53867,1808,90681.251,95735.983
